id,name,year,area,pH,delete,temp_pH,delete,delete,temp_cond,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete,DIC_ppmC,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete,delete,H2.AQ,delete,delete,CO.AQ,delete,delete,METHANE.AQ,delete,delete,delete,O2.AQ,NO3-_spectro,delete,NO2-_spectro,delete,NH4+_spectro,delete,Fe+2_spectro,delete,S-2_spectro_ugL,delete,SiO2.AQ,delete,CaCO3alkalinity,delete,PO4-3_spectro,delete,delete,delete,delete,delete,F-,delete,delete,Cl-,delete,delete,Br-,delete,delete,SO4-2,delete,delete,PO4-3,delete,delete,NO2-,delete,delete,NO3-,delete,delete,Li+,delete,delete,Na+,delete,delete,NH4+,delete,delete,K+,delete,delete,Mg+2,delete,delete,Ca+2,delete,delete,Li_ppb,delete,delete,Be_ppb,delete,delete,B_ppb,delete,delete,Mg_ppb,delete,delete,Al_ppb,delete,delete,delete,delete,delete,Ca_ppb,delete,delete,Ti_ppb,delete,delete,V_ppb,delete,delete,Cr_ppb,delete,delete,Mn_ppb,delete,delete,Fe_ppb,delete,delete,Co_ppb,delete,delete,Ni_ppb,delete,delete,Cu_ppb,delete,delete,Zn_ppb,delete,delete,Ga_ppb,delete,delete,delete,delete,delete,As_ppb,delete,delete,Rb_ppb,delete,delete,Sr_ppb,delete,delete,Y_ppb,delete,delete,Zr_ppb,delete,delete,Nb_ppb,delete,delete,Mo_ppb,delete,delete,Cd_ppb,delete,delete,Sn_ppb,delete,delete,Sb_ppb,delete,delete,Cs_ppb,delete,delete,Ba_ppb,delete,delete,La_ppb,delete,delete,Hf_ppb,delete,delete,delete,delete,delete,W_ppb,delete,delete,Tl_ppb,delete,delete,Pb_ppb,delete,delete,Th_ppb,delete,delete,U_ppb,delete,delete,Hg_ppb,delete,delete
Sample ID,Sample Location,Year sampled,Sampling area,pH,pH,pH Temp,Cond.,Flash. Cond.,Cond Temp,Time,Latitude,Longitude,Error,Elevation,Distance from ,,,,,,H2O ?14N,?18O,?18O,?D,?D,DIC/DOC,DIC,DIC,DIC,DIC,DIC,DIC,DOC,DOC,DOC,DOC,DOC,DOC,H2,H2,H2,CO,CO,CO,CH4,CH4,CH4,Spectro =>,D.O.,NO3- (spectro),NO3- (spectro),NO2- (spectro),NO2- (spectro),NH4+ (spectro),NH4+ (spectro),Fe+2,Fe+2,S-2,S-2,SiO2,SiO2,CaCO3,CaCO3,PO4-3,PO4-3,NO3 + NO2,N as NO3 and NO2,NH3,N as NH3,F-,F-,F-,Cl-,Cl-,Cl-,Br-,Br-,Br-,SO4-2,SO4-2,SO4-2,PO4-3,PO4-3,PO4-3,NO2-,NO2-,NO2-,NO3-,NO3-,NO3-,Li+,Li+,Li+,Na+,Na+,Na+,NH4+,NH4+,NH4+,K+,K+,K+,Mg+2,Mg+2,Mg+2,Ca+2,Ca+2,Ca+2,Li,Li,Li,Be,Be,Be,B,B,B,Mg,Mg,Mg,Al,Al,Al,P,P,P,Ca,Ca,Ca,Ti,Ti,Ti,V,V,V,Cr,Cr,Cr,Mn,Mn,Mn,Fe,Fe,Fe,Co,Co,Co,Ni,Ni,Ni,Cu,Cu,Cu,Zn,Zn,Zn,Ga,Ga,Ga,Ge,Ge,Ge,As,As,As,Rb,Rb,Rb,Sr,Sr,Sr,Y,Y,Y,Zr,Zr,Zr,Nb,Nb,Nb,Mo,Mo,Mo,Cd,Cd,Cd,Sn,Sn,Sn,Sb,Sb,Sb,Cs,Cs,Cs,Ba,Ba,Ba,La,La,La,Hf,Hf,Hf,Ta,Ta,Ta,W,W,W,Tl,Tl,Tl,Pb,Pb,Pb,Th,Th,Th,U,U,U,"Hg, ppb (no calibration)","Hg, M",
,,,,Field,millivolts,oC,uS,uS,oC,,x (12T),y (UTM), +/- (ft),m,Source (m),Latitude,"Lat, Decimal",Longitude,"Long, Decimal",,sample,(vs VSMOW),Std Dev,(vs VSMOW),Std Dev,samples,ppm C,DIC ppmC Std Dev,?13C VPDB (?),Std Dev (?),n replicates,Notes from Natasha,ppm C,ppmC Std Dev,?13C VPDB (?),Std Dev (?),n replicates,Notes from Natasha,Mean (nmol),+/- nmols,Std Error,Mean (nmol),+/- nmols,Std Error,Mean (nmol),+/- nmols,Std Error,Sampling time,mg/L,mg/L,M,mg/L,M,mg/L,M,mg/L,M,ug/L,M,mg/L,M,mg/L,M,mg/L,M,N mg/L,M,N mg/L,M,ppm,mol/kg,%RSD,ppm,mol/kg,%RSD,ppm,mol/kg,%RSD,ppm,mol/kg,%RSD,ppm,mol/kg,%RSD,ppm,mol/kg,%RSD,ppm,mol/kg,%RSD,ppm,mol/kg,%RSD,ppm,mol/kg,%RSD,ppm,mol/kg,%RSD,ppm,mol/kg,%RSD,ppm,mol/kg,%RSD,ppm,mol/kg,%RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,conc(ppb),molal,% RSD,e.g see year 1999,e.g see year 1999,Notes
140114U,Sun burn,2014,Falej North,11.355,-279.9,22.1,1479,,21.7,15:10,608551,2526487,,,,,,,,,,0.242185825,0.104087182,4.271386631,0.444757235,,2.0983512,,-21.82022838,0.43,,,0.2974002,,-24.07685421,0.345000657,,,17.12594083,,,162.929603,,,89.90974107,,,,7,,,,,,,0.00047,,109,3.41E-06,0.44645,7.43E-06,17,,,,,,1.02,,0.02225,1.17E-06,1.589004003,167.25225,4.72E-03,0.04037536,0.36595,4.58E-06,0.13525748,16.8649,1.76E-04,0.006708435,0.0117,,0,0.00625,1.36E-07,5.656854249,1.6217,6.67E-05,0.026161686,0.01125,1.62E-06,0.628539361,186.052,8.09E-03,0.016342523,0.21385,1.19E-05,0.562114346,8.6033,2.20E-04,0.008219018,0.39235,1.61E-05,0.018022347,47.0826,1.17E-03,0.084403582,13.5,1.94E-06,2.1,0.004,4.44E-10,87.72,13.4,1.24E-06,2.76,400,1.65E-05,4.24,1.97,7.30E-08,3.24,11.7,3.78E-07,2.39,44000,1.10E-03,3.7,0.07,1.46E-09,28.13,0.204,4.00E-09,3.05,0.1,1.92E-09,1.74,0.013,2.37E-10,2.36,0.47,8.42E-09,3.08,0.004,6.79E-11,5.9,0.039,6.64E-10,18.47,0.04,6.29E-10,25.94,0.23,3.52E-09,14.32,0.004,5.74E-11,5.61,0,0,173.21,0.049,6.54E-10,5.39,3.8,4.45E-08,2.06,126,1.44E-06,4.21,0.002,2.25E-11,8.76,0.036,3.95E-10,8.27,0.006,6.46E-11,6.05,0.077,8.03E-10,2.96,0.001,8.90E-12,29.65,0.005,4.21E-11,8.16,0.031,2.55E-10,2.77,0.084,6.32E-10,2.37,4.3,3.13E-08,2.39,0,0.00E+00,8.74,0.041,2.30E-10,4.69,0.053,2.93E-10,7.77,0.005,2.72E-11,9.6,0.001,4.89E-12,8.2,0.005,2.41E-11,2.82,0,0,20.16,0,0,20.36,,,
140114U,Sun burn,2014,Falej North,11.355,-279.9,22.1,1479,,21.7,15:10,608551,2526487,,,,,,,,,,0.242185825,0.104087182,4.271386631,0.444757235,,2.0983512,,-21.82022838,0.43,,,0.2974002,,-24.07685421,0.345000657,,,17.12594083,,,162.929603,,,89.90974107,,,,7,,,,,,,0.00047,,109,3.41E-06,0.44645,7.43E-06,17,,,,,,1.02,,0.02225,1.17E-06,1.589004003,167.25225,4.72E-03,0.04037536,0.36595,4.58E-06,0.13525748,16.8649,1.76E-04,0.006708435,0.0117,,0,0.00625,1.36E-07,5.656854249,1.6217,6.67E-05,0.026161686,0.01125,1.62E-06,0.628539361,186.052,8.09E-03,0.016342523,0.21385,1.19E-05,0.562114346,8.6033,2.20E-04,0.008219018,0.39235,1.61E-05,0.018022347,47.0826,1.17E-03,0.084403582,13.5,1.94E-06,2.1,0.004,4.44E-10,87.72,13.4,1.24E-06,2.76,400,1.65E-05,4.24,1.97,7.30E-08,3.24,11.7,3.78E-07,2.39,44000,1.10E-03,3.7,0.07,1.46E-09,28.13,0.204,4.00E-09,3.05,0.1,1.92E-09,1.74,0.013,2.37E-10,2.36,0.47,8.42E-09,3.08,0.004,6.79E-11,5.9,0.039,6.64E-10,18.47,0.04,6.29E-10,25.94,0.23,3.52E-09,14.32,0.004,5.74E-11,5.61,0,0,173.21,0.049,6.54E-10,5.39,3.8,4.45E-08,2.06,126,1.44E-06,4.21,0.002,2.25E-11,8.76,0.036,3.95E-10,8.27,0.006,6.46E-11,6.05,0.077,8.03E-10,2.96,0.001,8.90E-12,29.65,0.005,4.21E-11,8.16,0.031,2.55E-10,2.77,0.084,6.32E-10,2.37,4.3,3.13E-08,2.39,0,0.00E+00,8.74,0.041,2.30E-10,4.69,0.053,2.93E-10,7.77,0.005,2.72E-11,9.6,0.001,4.89E-12,8.2,0.005,2.41E-11,2.82,0,0,20.16,0,0,20.36,,,
140114V,Grey Sauce,2014,Falej North,11.407,-285.4,24.6,1803,,24.4,16:15,608559,2526485,,1821,,,,,,,,-0.209065703,0.129393994,2.902082344,0.477375959,,2.7675834,,-24.63099255,0.43,,,0.2721384,,-23.3799059,0.345000657,,,1325.399218,,,235.5398965,,,1518.483495,,,,6.1,,,,,,,0.00055,,266,8.31E-06,0.165,2.75E-06,14,,,,,,1.96,,0.007666667,4.04E-07,6.148754619,247.4773333,6.98E-03,0.019048392,0.3715,4.65E-06,0.266473619,1.7052,1.77E-05,0.199044836,0.0186,,0,0.039666667,8.62E-07,1.188414758,0.07925,3.26E-06,0.267674491,,,,,,,,,,,,,,,,,,,14.7,2.12E-06,2.59,0.008,8.88E-10,48.13,11.9,1.10E-06,1.5,154,6.34E-06,5.59,3.97,1.47E-07,1.44,18.6,6.01E-07,1.61,62000,1.55E-03,3.69,0.05,1.04E-09,47.26,0.178,3.49E-09,4.25,0.034,6.54E-10,14.07,0.016,2.91E-10,23.24,0.55,9.85E-09,2.78,0.006,1.02E-10,45.54,0.038,6.47E-10,7.6,0.068,1.07E-09,10.59,0.48,7.34E-09,4.78,0.004,5.74E-11,30.04,0.002,2.75E-11,86.6,0.034,4.54E-10,15.88,3.63,4.25E-08,0.98,136,1.55E-06,1.43,0.004,4.50E-11,7.92,0.028,3.07E-10,2.17,0.008,8.61E-11,6.6,0.078,8.13E-10,5.59,0.004,3.56E-11,29.45,0.016,1.35E-10,6.76,0.036,2.96E-10,7.6,0.082,6.17E-10,2.31,4.16,3.03E-08,0.55,0.002,1.44E-11,8.9,0.03,1.68E-10,5.38,0.058,3.21E-10,2.97,0.006,3.26E-11,11.11,0,0,10.99,0.012,5.79E-11,7.34,0,0,30.99,0,0,11.47,,,
140111H,Horse Head,2014,Qafifah,10.24,-204.4,20.4,597,,20.2,,646074,2533678,,2209,,,,,,,,0.204879822,0.107517694,4.463420735,0.308013336,,21.55752175,0.609719156,-13.98026112,0.2,,,0.3983196,,-23.74277204,0.345000657,,,124788.739,,,185.737673,,,8003.081254,,,,8.9,,,,,,,0.000446,,39,1.22E-06,8.71159,1.45E-04,101,,,,,,0.27,,0.0485,2.55E-06,0.291590425,109.1426,3.08E-03,0.005182994,0.15135,1.89E-06,0.046719972,17.51805,1.82E-04,0.04561185,0.0127,,0,0.0074,1.61E-07,7.644397634,0.7725,3.18E-05,0.073227887,0.00895,1.29E-06,0.790063443,82.5707,3.59E-03,0.106360564,0.0684,3.80E-06,1.033781844,3.10295,7.94E-05,0.047855242,28.4555,0.001170767,0.025346556,8.5954,0.000214456,0.032906289,11.3,1.63E-06,1.84,0.003,3.33E-10,62.92,40,3.70E-06,2.55,25000,1.03E-03,2.66,3.6,1.33E-07,4.5,12.7,4.10E-07,0.89,7300,1.82E-04,3.35,0.064,1.34E-09,13.39,0.25,4.91E-09,4.42,0.32,6.15E-09,6.43,0.309,5.62E-09,2.35,0.446,7.99E-09,0.69,0.023,3.90E-10,25.25,0.61,1.04E-08,2.31,0.225,3.54E-09,2.97,6.5,9.94E-08,7.28,0.012,1.72E-10,28.18,0.001,1.38E-11,86.62,0.13,1.74E-09,10.09,1.25,1.46E-08,1.27,27,3.08E-07,4.39,0.007,7.87E-11,5.17,0.083,9.10E-10,8.35,0.016,1.72E-10,6.23,0.659,6.87E-09,0.67,0.004,3.56E-11,13.47,0.011,9.27E-11,3.03,1.375,1.13E-08,0.55,0.059,4.44E-10,1.82,0.737,5.37E-09,0.77,0.002,1.44E-11,7.03,0.075,4.20E-10,6.6,0.099,5.47E-10,3.95,0.013,7.07E-11,2.76,0.001,4.89E-12,25.87,0.016,7.72E-11,1.36,0,0,33.41,0.01,4.20E-11,54.24,,,
140111I,Tadpole Trauma,2014,Qafifah,10.87,-240.3,19.7,683,,18.8,16:35,646074,2533674,,2222,,,,,,,,0.606073271,0.070484471,6.357371525,0.420555326,,10.1527095,0.282307433,-14.12343722,0.2,,,0.5817126,,-24.19305783,0.345000657,,,2066.384969,,,97.319529,,,7754.477378,,,,7.4,,,,,,,0.0003,,65,2.03E-06,6.02323,1.00E-04,68,,,,,,1.27,,0.00325,1.71E-07,0,130.68425,3.69E-03,0.204528368,0.18865,2.36E-06,0.337342223,14.8049,1.54E-04,0.02770177,0.0102,,0,0.013625,2.96E-07,3.892330906,0.52055,2.14E-05,0.01358384,0.0104,1.50E-06,0,100.286875,4.36E-03,0.007227112,0.10745,5.97E-06,0.065807983,3.8145,9.76E-05,0.029659742,19.60275,0.000806532,0.045089769,14.7428,3.68E-04,0.104559024,12.1,1.74E-06,2.62,0.004,4.44E-10,80.66,34,3.14E-06,3.44,16500,6.79E-04,3.17,3.46,1.28E-07,1.86,10.2,3.29E-07,3.38,11800,2.94E-04,3.25,0.08,1.67E-09,14.23,0.259,5.08E-09,2.64,0.21,4.04E-09,9.86,0.023,4.19E-10,18.4,0.3,5.37E-09,4.27,0.014,2.38E-10,4.92,0.33,5.62E-09,6.89,0.075,1.18E-09,3.35,0.18,2.75E-09,6.97,0.005,7.17E-11,43.17,0,0.00E+00,173.21,0.09,1.20E-09,11.06,1.29,1.51E-08,3.83,23.8,2.72E-07,1.26,0.001,1.12E-11,9.58,0.075,8.22E-10,9.79,0.01,1.08E-10,10.56,0.46,4.79E-09,2.71,0.002,1.78E-11,40.33,0.007,5.90E-11,6.49,0.013,1.07E-10,7.5,0.046,3.46E-10,3.13,0.58,4.22E-09,1.83,0,0.00E+00,23.47,0.05,2.80E-10,5,0.072,3.98E-10,3.16,0.005,2.72E-11,8.21,0.001,4.89E-12,13.08,0.002,9.65E-12,8.96,0,0,14.46,0.003,1.26E-11,8.25,,,
140116C,Slippity Slide,2014,Shmait,8.714,-120.1,27.3,777,,27.3,14:23,486045,2588468,,2391,,,,,,,,0.071231907,0.093002717,0.354307812,0.815257043,,56.953626,3.023609951,-13.40109186,0.2,,,0.446697,,-26.80044149,0.43,,,2175.586009,,,113.63183,,,899.8051319,,,,7.3,,,,,,,0.00067,,20.1,6.28E-07,16.7437,2.79E-04,247,,,,,,0.75,,0,,0,54.4635,1.54E-03,0.035314118,0.07415,9.28E-07,0.286085009,65.37005,6.80E-04,0.077774115,0.0135,,0,0,,0,9.89055,4.07E-04,0.070778239,0.0038,5.47E-07,0,31.52465,1.37E-03,0.045982078,0.02085,1.16E-06,1.695699715,3.84035,9.82E-05,0.079174012,65.0364,0.002675844,0.00318926,25.3971,6.34E-04,0.188768953,5.46,7.87E-07,1.16,0.004,4.44E-10,51.02,103,9.53E-06,7.74,58000,2.39E-03,4.18,3.126,1.16E-07,0.18,13.5,4.36E-07,2.94,22800,5.69E-04,1.36,0.07,1.46E-09,47.25,0.559,1.10E-08,1.54,1.54,2.96E-08,2.87,0.43,7.83E-09,3.59,0.67,1.20E-08,2.18,0.029,4.92E-10,10.43,1.407,2.40E-08,0.39,0.074,1.16E-09,7.17,0.31,4.74E-09,9.91,0.002,2.87E-11,34.48,0.004,5.51E-11,69.72,0.1,1.33E-09,11.78,1.15,1.35E-08,3.34,383,4.37E-06,1.4,0.01,1.12E-10,1.5,0.062,6.80E-10,8.83,0.009,9.69E-11,8.57,0.392,4.09E-09,1.78,0.002,1.78E-11,33.54,0.007,5.90E-11,5.66,0.045,3.70E-10,2.91,0.012,9.03E-11,3.5,10.3,7.50E-08,2.01,0.002,1.44E-11,7.8,0.043,2.41E-10,5.51,0.063,3.48E-10,6.42,0.004,2.18E-11,4.53,0.001,4.89E-12,15.09,0.004,1.93E-11,10.97,0,0,44.74,0.021,8.82E-11,2.71,,,
140116D,Rome,2014,Shmait,9.104,-144.5,27.4,777,,27.1,15:05,486036,2588465,,2409,,,,,,,,-0.017053525,0.147417718,0.400635341,0.741506885,,47.7453386,1.36091652,-13.70675193,0.2,,,0.4420745,,-26.44817937,0.43,,,12486.31188,,,231.419526,,,122.8715255,,,,6.9,,,,,,,0.0024,,21,6.56E-07,15.65036,0.000260492,238,,,,,,,,0,,0,68.0147,1.92E-03,0.01226773,0.09025,1.13E-06,0.078349782,58.7787,6.12E-04,0.175397157,0.01136,,0,0.0033,7.17E-08,4.285495644,8.7835,0.000361387,0.362267947,0.0052,7.49E-07,0,42.8332,1.86E-03,0.225834651,0.0458,2.54E-06,0.308780254,4.0347,1.03E-04,0.154225585,59.11186667,0.002432087,0.111328021,28.67415,7.15E-04,0.004685415,6.8,9.80E-07,1.93,0.002,2.22E-10,30.16,81,7.49E-06,3.45,56000,2.30E-03,2.15,3.2,1.19E-07,3.53,11.36,3.67E-07,0.47,27600,6.89E-04,3.86,0.08,1.67E-09,22.32,0.55,1.08E-08,4.24,1.32,2.54E-08,1.6,0.426,7.75E-09,0.4,2.4,4.30E-08,2.11,0.023,3.90E-10,4.06,1.39,2.37E-08,4.64,0.119,1.87E-09,4.79,0.47,7.19E-09,7.55,0.002,2.87E-11,24.16,0.008,1.10E-10,30.18,0.08,1.07E-09,12.55,1.27,1.49E-08,4.99,332,3.79E-06,2.18,0.009,1.01E-10,6.96,0.053,5.81E-10,11.49,0.008,8.61E-11,10.36,0.35,3.65E-09,4.75,0.003,2.67E-11,13.78,0.008,6.74E-11,6.19,0.036,2.96E-10,3.96,0.015,1.13E-10,3.31,9,6.55E-08,3.12,0.003,2.16E-11,10,0.044,2.47E-10,9.23,0.059,3.26E-10,4.22,0.004,2.18E-11,9.9,0.001,4.89E-12,11.26,0.006,2.90E-11,2.2,0,0,62.41,0.018,7.56E-11,1.24,,,
140117I,Hypotenuse,2014,Shmait,11.313,-281.2,33,2000,,32.3,13:15,486046,2588489,,2390,,,,,,,,-2.218015894,0.117798763,-5.230859802,1.061298241,,0.560048747,,-10.16577111,0.2,,,0.1941365,,-29.12481699,0.43,,,227347.3545,,,158.671892,,,13591.98939,,,,0.4,,,,,,,0.00036,,104,3.25E-06,0.11767,1.96E-06,5,,,,,,0.16,,0,,0,188.6876667,5.32E-03,0.097185132,0.25045,3.13E-06,0.084700353,0.6209,6.46E-06,0,0.0169,,0,0,,0,0.0061,2.51E-07,0,0.0181,2.61E-06,0,144.2786667,6.28E-03,0.060118681,0.34875,1.94E-05,0.020275463,5.79075,1.48E-04,0.120888609,0.1967,8.09E-06,0.143793957,74.51,1.86E-03,0.013918802,20.7,2.98E-06,0.78,0.01,1.11E-09,17.87,2.46,2.28E-07,3.08,210,8.64E-06,8.64,3.26,1.21E-07,2.68,16.9,5.46E-07,4.21,71000,1.77E-03,2.76,0.076,1.59E-09,2.68,0.14,2.75E-09,12.24,0.024,4.62E-10,12.92,0.014,2.55E-10,28.76,0.36,6.45E-09,5.3,0.004,6.79E-11,22.46,0.03,5.11E-10,48.19,0.036,5.67E-10,19.85,0.45,6.88E-09,9.48,0.002,2.87E-11,67.22,0,0.00E+00,0,0.03,4.00E-10,50,2.67,3.12E-08,2.87,109,1.24E-06,0.51,0.002,2.25E-11,6.65,0.026,2.85E-10,5.64,0.006,6.46E-11,13.51,0.05,5.21E-10,1.79,0.002,1.78E-11,29.03,0.012,1.01E-10,2.3,0.068,5.58E-10,3.43,0.046,3.46E-10,0.35,7.6,5.53E-08,0.58,0,0.00E+00,28.71,0.026,1.46E-10,9.01,0.048,2.65E-10,5.57,0.006,3.26E-11,10.7,0,0.00E+00,22.99,0.006,2.90E-11,6.86,0,0,5.02,0,0,17.72,,,
140117J,Triangle,2014,Shmait,11.309,-281.8,33.9,1387,,31.6,14:30,486048,2588470,,2388,,,,,,,,-1.792622172,0.078670136,-4.140405596,0.626263494,,0.84579928,,-14.25775839,0.2,,,0.251778,,-26.43563345,0.43,,,217754.1676,,,187.283708,,,13277.7992,,,,1,,,,,,,0.000323,,74,2.31E-06,2.94004,4.89E-05,31,,,,,,0.35,,0,,0,167.08225,4.71E-03,0.037453979,0.2256,2.82E-06,0,10.6442,1.11E-04,0.10628989,0.0088,,0,0,,0,0.0047,1.93E-07,0,0.01615,2.33E-06,0.437837016,133.97425,5.83E-03,0.378163721,0.3035,1.69E-05,0.046596822,5.4572,1.40E-04,0.051829274,0.4736,1.95E-05,0.209026498,33.17575,8.28E-04,0.063728756,18.14,2.61E-06,0.34,0.003,3.33E-10,54.53,17.1,1.58E-06,2.15,370,1.52E-05,4.8,1.63,6.04E-08,1.74,8.8,2.84E-07,5.88,27500,6.86E-04,2.13,0.064,1.34E-09,2.56,0.14,2.75E-09,5.55,0.022,4.23E-10,9.1,0.023,4.19E-10,5.62,0.323,5.78E-09,2.21,0.005,8.48E-11,27.47,0.06,1.02E-09,13.09,0.028,4.41E-10,10.76,0.208,3.18E-09,3.75,0,0.00E+00,49.96,0,0,173.21,0.047,6.27E-10,14.03,2.41,2.82E-08,3.43,77,8.79E-07,1.82,0.001,1.12E-11,7.47,0.03,3.29E-10,8.55,0.006,6.46E-11,11.49,0.078,8.13E-10,3.36,0.001,8.90E-12,12.44,0.003,2.53E-11,7.56,0.061,5.01E-10,3.25,0.044,3.31E-10,2.94,2.98,2.17E-08,2.52,0,0.00E+00,13.44,0.029,1.62E-10,5.91,0.048,2.65E-10,4.55,0.004,2.18E-11,2.95,0,0,24.35,0.003,1.45E-11,4.26,0,0,28.06,0,0,7.93,,,
140110D,Travertine Falls,2014,Wadi Dima,10.394,-210,21.8,778,,21.8,15:55,663442,2542636,,1392,,,,,,,,0.690444652,0.045698442,3.728760851,0.20311455,,9.7479597,0.447797997,-12.02908595,0.212224678,,,0.2597631,,-23.80311543,0.345000657,,,65.17242871,,,63.153875,,,8912.248427,,,,6.5,,,,,,,0.0004,,42,1.31E-06,5.49038,9.14E-05,76,,,,,,,,0.005866667,3.09E-07,6.428243465,169.9462667,4.79E-03,0.130148785,0.3758,4.70E-06,0.03763208,17.31015,1.80E-04,0.06495032,0.0116,,0,0,,0,1.66455,6.85E-05,0.123193035,0.0016,2.31E-07,0,113.1268,4.92E-03,0.026502409,0.11905,6.61E-06,0.059395782,5.42855,1.39E-04,0.082061927,19.00135,7.82E-04,0.020467426,19.057,4.75E-04,0.017068223,3.14,4.52E-07,2.58,0.004,4.44E-10,29.88,36.2,3.35E-06,2.27,15300,6.30E-04,5.55,6.5,2.41E-07,1.68,11.6,3.75E-07,5.15,14100,3.52E-04,1.56,0.08,1.67E-09,20.69,0.86,1.69E-08,2.18,1.99,3.83E-08,2.84,0.016,2.91E-10,12.72,0.4,7.16E-09,4.55,0.014,2.38E-10,15.42,0.19,3.24E-09,11.49,0.13,2.05E-09,8.02,0.51,7.80E-09,10.33,0.01,1.43E-10,11.18,0.001,1.38E-11,100.97,0.13,1.74E-09,31.09,3.26,3.81E-08,1.79,79.7,9.10E-07,0.76,0.002,2.25E-11,11.18,0.042,4.60E-10,6.68,0.008,8.61E-11,0.83,0.249,2.60E-09,0.66,0.002,1.78E-11,8.41,0.005,4.21E-11,3.32,0.02,1.64E-10,4.23,0.093,7.00E-10,0.61,2.37,1.73E-08,0.66,0,0.00E+00,13.74,0.044,2.47E-10,8.9,0.062,3.43E-10,9.45,0.007,3.81E-11,7.42,0.001,4.89E-12,19.1,0.002,9.65E-12,9.42,0,0,26.38,0.003,1.26E-11,5.02,,,
